record_id,source_id,taxon,parasite,chemistry_resolution,phenotype_context,host_control,mechanistic_support,translation_level,overall_tier,appraisal_basis
P055,annua-standardized-leishmania-2025,Artemisia annua,Leishmania infantum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T2_in_vitro_with_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P056,cina-silver-nanoparticles-helminth-2025,Artemisia cina,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P057,absinthium-haemonchus-medicinal-plants-2018,Artemisia absinthium,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P058,absinthium-ascaris-embryogenesis-2022,Artemisia absinthium,Ascaris suum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P059,cina-bioassay-sesquiterpene,Artemisia cina,Haemonchus contortus L3,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P060,stl-tcruzi-pcd-2014,Artemisia douglassiana,Trypanosoma cruzi,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P061,absinthium-dracunculus-rootnematodes-2026,Artemisia absinthium; Artemisia dracunculus,root-knot nematodes and stored-product insects,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P062,absinthium-goat-coccidiosis-2013,Artemisia absinthium,Eimeria spp.,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P063,sieberi-poultry-mite-2017,Artemisia sieberi,Dermanyssus gallinae,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P064,sieberi-artemisinin-coccidia-2007,Artemisia sieberi,Eimeria tenella; Eimeria acervulina; Eimeria maxima,C2_profiled_mixture,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P065,absinthium-extraction-acaricide-2001,Artemisia absinthium,Tetranychus urticae,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P066,indica-antimalarial-principles-1998,Artemisia indica,Plasmodium falciparum,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P067,annua-gelatin-capsule-malaria-1992,Artemisia annua,Plasmodium berghei; Plasmodium vivax,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P068,stl-leishmania-mexicana,Artemisia species,Leishmania mexicana,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M2_hypothesis_or_stage_mechanism,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M2_hypothesis_or_stage_mechanism; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P069,absinthium-leishmania,Artemisia absinthium,Leishmania aethiopica; Leishmania donovani,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P070,sieberi-malaria,Artemisia sieberi,Plasmodium berghei,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P071,khorassanica-malaria,Artemisia khorassanica,Plasmodium berghei,C2_profiled_mixture,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P072,absinthium-ovine-nematodes,Artemisia absinthium,ovine gastrointestinal nematodes including Haemonchus contortus,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P073,absinthium-wormwood-lambs,Artemisia absinthium,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P074,absinthium-awassi-nematodes,Artemisia absinthium,gastrointestinal nematodes in naturally infected Awassi sheep,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P075,annua-silicon-trichome-toxoplasma-2016,Artemisia annua,Toxoplasma gondii,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M2_hypothesis_or_stage_mechanism,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M2_hypothesis_or_stage_mechanism; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P076,annua-eimeria-host-response-2018,Artemisia annua,Eimeria tenella,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P077,khorassanica-purified-stls-leishmania-2022,Seriphidium khorassanicum (syn. Artemisia khorassanica),Leishmania major,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P078,annua-plant-matrix-malaria-pk-2025,Artemisia annua,Plasmodium berghei and Plasmodium chabaudi,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P079,annua-origin-malaria-2014,Artemisia annua,Plasmodium falciparum and hemozoin surrogate,C1_crude_or_unresolved,P1_indirect_or_surrogate,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P1_indirect_or_surrogate; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P080,artemisia-oil-nanoliposome-mosquito-2023,A. annua; A. dracunculus; A. sieberi,Aedes aegypti and Anopheles stephensi,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P081,annua-oil-monoterpenoid-mite-2025,Artemisia annua,Tetranychus urticae,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P082,vestita-maritima-helminth,Artemisia vestita,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P083,vestita-maritima-helminth,Artemisia maritima,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P084,annua-extracts-beta-hematin-2015,Artemisia ciniformis,Plasmodium surrogate,C1_crude_or_unresolved,P1_indirect_or_surrogate,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P1_indirect_or_surrogate; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P085,sieberi-artemisinin-leishmania-2013,Artemisia sieberi,Leishmania major,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P086,aucheri-armeniaca-antimalarial-2014,Artemisia aucheri and Artemisia armeniaca,Plasmodium surrogate,C1_crude_or_unresolved,P1_indirect_or_surrogate,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P1_indirect_or_surrogate; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P087,artemisia-ag-nanoparticles-malaria-2020,Artemisia abrotanum,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P088,artemisia-ag-nanoparticles-malaria-2020,Artemisia arborescens,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P089,annua-histomonas-negative-2012,Artemisia annua and purified artemisinin,Histomonas meleagridis,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P090,annua-culex-larvicide-2012,Artemisia annua,Culex quinquefasciatus,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P091,annua-culex-larvicide-2012,Artemisia annua,Culex tritaeniorhynchus,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P092,annua-whole-plant-resistance-2015,Artemisia annua,Plasmodium yoelii,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P093,annua-whole-plant-resistance-2015,Artemisia annua,Plasmodium chabaudi,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P094,annua-artemisinin-drug-combinations-1987,Artemisia annua-derived artemisinin,Plasmodium berghei,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P095,annua-endophyte-antimalarial-metabolomics-2021,Artemisia annua-associated fungal endophytes,Plasmodium spp.,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M2_hypothesis_or_stage_mechanism,T2_in_vitro_with_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M2_hypothesis_or_stage_mechanism; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P096,inculta-schistosomiasis-toxicity-2006,Artemisia inculta,Schistosoma spp.,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P097,artemisinin-extracellular-heme-2012,Artemisia annua-derived artemisinin,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P098,herba-alba-tick-nanoemulsion-2021,Artemisia herba-alba,Hyalomma dromedarii,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P099,herba-alba-tick-nanoemulsion-2021,Artemisia herba-alba,Hyalomma dromedarii,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P100,herba-alba-tick-nanoemulsion-2021,Artemisia herba-alba,Hyalomma dromedarii,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P101,herba-alba-tick-nanoemulsion-2021,Artemisia herba-alba,Hyalomma dromedarii,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P102,artemisia-five-species-anti-insect-2022,Artemisia ordosica,Liposcelis bostrychophila,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P103,artemisia-five-species-anti-insect-2022,Artemisia tangutica,Tribolium castaneum,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P104,scoparia-altitude-mosquito-2024,Artemisia scoparia,Aedes aegypti,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P105,scoparia-altitude-mosquito-2024,Artemisia scoparia,Aedes aegypti,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P106,vulgaris-gall-mite-2025,Artemisia vulgaris,Aceria pongamiae,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P107,vulgaris-gall-mite-2025,Artemisia vulgaris,Aceria pongamiae,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P108,argyi-essential-oil-insecticidal-2026,Artemisia argyi,Callosobruchus maculatus,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P109,annua-cattle-tick-2011,Artemisia annua,Rhipicephalus annulatus,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
