pmid,title,decision,evidence_scope,decision_rationale
26156581,"Proteomic analysis of Artemisia annua--towards elucidating the biosynthetic pathways of the antimalarial pro-drug artemisinin.",include_primary_synthesis,A. annua proteomics and artemisinin-pathway annotation,"Primary proteomics study supports pathway-protein evidence and database-curation limits; protein detection is not proof of tissue-specific flux or parasite efficacy."
26192869,"A Genome-Wide Scenario of Terpene Pathways in Self-pollinated Artemisia annua.",include_primary_synthesis,multi-tissue A. annua terpene metabolomics and transcriptomics,"Primary integrated study directly informs mono-, sesqui-, di-, and triterpene tissue variation; its single-species design cannot establish comparative evolution."
26340706,"T-shaped trichome-specific expression of monoterpene synthase ADH2 using promoter-β-GUS fusion in transgenic Artemisia annua L.",include_primary_synthesis,trichome and tissue regulation of monoterpene biosynthesis,"Primary promoter and recombinant-enzyme study adds monoterpene synthase function and compartment context; reporter patterns require metabolite confirmation."
26360801,"Expression of β-glucosidase increases trichome density and artemisinin content in transgenic Artemisia annua plants.",include_primary_synthesis,trichome development and artemisinin production,"Primary genetic-engineering study links trichome density with artemisinin accumulation in A. annua; it is not evidence for native variation across Artemisia species."
26476297,"Multivariate data analysis and metabolic profiling of artemisinin and related compounds in high yielding varieties of Artemisia annua field-grown in Madagascar.",include_primary_synthesis,field-grown A. annua chemotypes and artemisinin-related metabolite covariance,"Primary field metabolomics study informs genotype and environment effects and DHAA association; covariance does not alone prove precursor flux or causal activity."
26495156,"Sesquiterpene Lactones from Artemisia Genus: Biological Activities and Methods of Analysis.",include_review_context,genus-level sesquiterpene-lactone chemistry and analytical methods,"Published review is useful for discovery and structural/analytical context across Artemisia; individual biological claims require primary-source verification."
26510528,"Enhanced artemisinin yield by expression of rol genes in Artemisia annua.",include_primary_synthesis,rol-gene engineering and artemisinin yield,"Primary transformation study informs pathway engineering and yield variability within A. annua; engineered output is not a natural comparative-chemotype observation."
26745979,"Dual symbiosis between Piriformospora indica and Azotobacter chroococcum enhances the artemisinin content in Artemisia annua L.",include_primary_synthesis,microbial symbiosis and artemisinin accumulation,"Primary greenhouse study informs biotic-environment effects on artemisinin content; treatment response is context-specific and does not identify a terpene mechanism across species."
26864531,"The jasmonate-responsive AaMYC2 transcription factor positively regulates artemisinin biosynthesis in Artemisia annua.",include_primary_synthesis,jasmonate regulation of CYP71AV1 and DBR2,"Primary perturbation study links jasmonate signaling to artemisinin genes and content in A. annua; regulatory conservation in other species remains untested."
27142388,"Cellular engineering of Artemisia annua and Artemisia dubia with the rol ABC genes for enhanced production of potent anti-malarial drug artemisinin.",include_primary_synthesis,comparative A. annua and A. dubia transformation,"Primary two-species engineering study informs species-dependent production responses, but engineered artemisinin yield cannot be generalized to native chemotype or antiparasitic potency."
27630101,"Artemisia absinthium-borne compounds as novel larvicides: effectiveness against six mosquito vectors and acute toxicity on non-target aquatic organisms.",include_primary_synthesis,A. absinthium essential oil and defined constituents against mosquito larvae with non-target toxicity,"Primary vector-assay study directly expands antiparasitic and safety evidence; constituent attribution and acute aquatic toxicity remain preparation- and dose-specific."
27773616,"Compartmentalized Metabolic Engineering for Artemisinin Biosynthesis and Effective Malaria Treatment by Oral Delivery of Plant Cells.",include_primary_synthesis,compartment-targeted artemisinin engineering and oral plant-cell delivery,"Primary engineering and delivery study informs compartmentalization and translation, but heterologous tobacco production is not evidence for native Artemisia physiology."
27807464,"Asteraceae Artemisia campestris and Artemisia herba-alba Essential Oils Trigger Apoptosis and Cell Cycle Arrest in Leishmania infantum Promastigotes.",include_primary_synthesis,comparative Artemisia essential oils against Leishmania promastigotes,"Primary comparative oil assay directly informs protozoan phenotype and chemotype variation; promastigote activity and mixture attribution do not establish mammalian efficacy."
27242840,"Isolation and Characterization of Three New Monoterpene Synthases from Artemisia annua.",include_primary_synthesis,A. annua monoterpene synthase biochemistry and tissue metabolites,"Primary recombinant-enzyme study adds β-myrcene, camphene, and 1,8-cineole synthase evidence; in-vitro product profiles and tissue detection remain distinct from quantitative in-vivo flux."
27980595,"Flavonoids and Sesquiterpene Lactones from Artemisia absinthium and Tanacetum parthenium against Schistosoma mansoni Worms.",include_primary_synthesis,A. absinthium extract and isolated-compound schistosomicidal assays,"Primary helminth study directly informs antiparasitic evidence; crude-extract activity and inactive isolated A. absinthium compounds must not be conflated with parthenolide activity from Tanacetum."
28207974,"AaMYB1 and its orthologue AtMYB61 affect terpene metabolism and trichome development in Artemisia annua and Arabidopsis thaliana.",include_primary_synthesis,trichome development and terpene regulation,"Primary comparative transcription-factor study informs trichome-linked artemisinin and terpene regulation; Arabidopsis orthology does not establish Artemisia-wide functional conservation."
28642777,"Transcriptome Analysis of Genes Associated with the Artemisinin Biosynthesis by Jasmonic Acid Treatment under the Light in Artemisia annua.",include_primary_synthesis,light-by-jasmonate interaction in A. annua transcriptomics,"Primary treatment-interaction study informs environmental regulation of artemisinin biosynthesis; transcript responses require metabolite and genotype-specific validation."
28861412,"Stable Production of the Antimalarial Drug Artemisinin in the Moss Physcomitrella patens.",include_primary_synthesis,heterologous reconstruction of the artemisinin pathway,"Primary synthetic-biology study supports pathway sufficiency and translation outside Artemisia; moss production is not evidence for native species evolution or plant chemotype."
28864166,"Artemisinin permeability via Caco-2 cells increases after simulated digestion of Artemisia annua leaves.",include_primary_synthesis,simulated digestion and bioavailability of A. annua leaf artemisinin,"Primary in-vitro digestion/permeability study informs preparation and translation boundaries; Caco-2 permeability is not clinical efficacy or proof of whole-leaf superiority."
28930253,"In Vitro and In Vivo Evaluation of Essential Oil from Artemisia absinthium L. Formulated in Nanocochleates against Cutaneous Leishmaniasis.",include_primary_synthesis,A. absinthium oil formulation against intracellular Leishmania and macrophage controls,"Primary formulation study directly informs parasite-stage activity and host-cell controls; formulation-specific efficacy cannot be generalized to unformulated oil or single constituents."
29518326,"Nitric Oxide Inhibitory Sesquiterpenoids and Its Dimers from Artemisia freyniana.",include_primary_synthesis,A. freyniana sesquiterpene and dimer isolation with proposed biosynthesis,"Primary structure-elucidation study expands sesquiterpene diversity and biosynthetic hypotheses; nitric-oxide inhibition is not antiparasitic evidence."
29643397,"De novo assembly and analysis of the Artemisia argyi transcriptome and identification of genes involved in terpenoid biosynthesis.",include_primary_synthesis,multi-tissue A. argyi transcriptome and terpenoid genes,"Primary transcriptome study informs tissue-specific candidate pathway genes and extends comparative coverage beyond A. annua; annotations are candidates until functional and orthology tests."
29857558,"Red and Blue Light Promote the Accumulation of Artemisinin in Artemisia Annua L.",include_primary_synthesis,light-quality effects on A. annua artemisinin accumulation,"Primary controlled-environment study informs environmental modulation of a sesquiterpene lactone; wavelength, cultivar, and growth-stage effects limit extrapolation."
29971081,"Overexpression of Artemisia annua Cinnamyl Alcohol Dehydrogenase Increases Lignin and Coumarin and Reduces Artemisinin and Other Sesquiterpenes.",include_primary_synthesis,cross-pathway perturbation of artemisinin and sesquiterpenes,"Primary transgenic study informs metabolic competition and negative regulation; the lignin/coumarin pathway effect is not evidence for a conserved genus-wide tradeoff."
30030948,"Influence of abiotic elicitors on improvement production of artemisinin in cell culture of Artemisia annua L.",include_primary_synthesis,abiotic elicitation in A. annua cell culture,"Primary elicitation study informs preparation- and culture-specific changes in artemisinin; callus or suspension responses cannot be treated as field ecology."
30139985,"Expression of key genes affecting artemisinin content in five Artemisia species.",include_primary_synthesis,comparative five-species artemisinin genes and glandular trichomes,"Primary multi-species study directly informs comparative regulation and trichome-linked chemotypes; expression associations do not establish orthology, flux, or causal antiparasitic activity."
30366267,"Ecotoxicity of a novel biopesticide from Artemisia absinthium on non-target aquatic organisms.",include_primary_synthesis,A. absinthium hydrolate nematicide and aquatic ecotoxicity,"Primary environmental-safety study links a defined hydrolate constituent to nematicidal use and non-target effects; hydrolate is not interchangeable with essential oil."
30389026,"Chemical analyses and anthelmintic effects of Artemisia campestris essential oil.",include_primary_synthesis,A. campestris oil chemistry and Haemonchus contortus assays,"Primary in-vitro and in-vivo anthelmintic study directly informs nematode phenotypes; β-pinene-dominated mixture activity does not identify a single active constituent."
30520605,"Methyl 3-(5-(prop-1-yn-1-yl)thiophen-2-yl)propanoate: A Rare Acetylene Derivative from Artemisia absinthium Root Essential Oil.",include_primary_synthesis,A. absinthium root-oil acetylene constituent and structure elucidation,"Primary isolation study expands non-terpene/terpenoid-adjacent root-oil chemistry with explicit structural confirmation; no antiparasitic endpoint is established."
30546379,"AaABF3, an Abscisic Acid-Responsive Transcription Factor, Positively Regulates Artemisinin Biosynthesis in Artemisia annua.",include_primary_synthesis,ABA-responsive trichome transcriptional regulation,"Primary transcription-factor study informs hormonal control of artemisinin biosynthesis in A. annua; functional conservation across species remains untested."
30556010,"The jasmonate-responsive transcription factor CbWRKY24 regulates terpenoid biosynthetic genes to promote saponin biosynthesis in Conyza blinii H. Lév.",exclude_non_Artemisia_context,comparative Asteraceae transcription-factor context,"The study concerns Conyza rather than Artemisia and saponins rather than the target genus; retain only as clearly labeled comparative context if needed."
30627665,"Evaluation of the Leaf Essential Oil from Artemisia vulgaris and Its Larvicidal and Repellent Activity against Dengue Fever Vector Aedes aegypti-An Experimental and Molecular Docking Investigation.",include_primary_synthesis,A. vulgaris leaf oil against Aedes aegypti,"Primary vector study expands species-level oil chemistry and larvicidal/repellent phenotypes; docking is hypothesis-generating and mixture activity remains unresolved."
30939762,"Chemical Profile and Biological Activities of Essential Oil from Artemisia vulgaris L. Cultivated in Brazil.",include_primary_synthesis,cultivated A. vulgaris oil chemotype and bioactivity,"Primary cultivated-population oil study informs geographic and preparation-dependent chemistry and biological assays; reported activity requires endpoint-specific and mixture-level interpretation."
30719762,"Jasmonic acid-responsive AabHLH1 positively regulates artemisinin biosynthesis in Artemisia annua.",include_primary_synthesis,jasmonate-responsive bHLH regulation of artemisinin,"Primary transcription-factor perturbation study informs JA control of ADS and CYP71AV1 in A. annua; regulatory conservation across Artemisia remains untested."
31076768,"Light-Induced Artemisinin Biosynthesis Is Regulated by the bZIP Transcription Factor AaHY5 in Artemisia annua.",include_primary_synthesis,light-responsive AaHY5 regulation of artemisinin,"Primary genetic and promoter study informs light-dependent sesquiterpene-lactone regulation in A. annua; response magnitude remains cultivar- and environment-specific."
31120500,"Interaction of bZIP transcription factor TGA6 with salicylic acid signaling modulates artemisinin biosynthesis in Artemisia annua.",include_primary_synthesis,salicylic-acid signaling and artemisinin regulation,"Primary transcription-factor study connects SA signaling with artemisinin biosynthesis; it does not establish a universal stress response or antiparasitic mechanism."
31504880,"Lipid Transfer Proteins (AaLTP3 and AaLTP4) Are Involved in Sesquiterpene Lactone Secretion from Glandular Trichomes in Artemisia annua.",include_primary_synthesis,trichome secretion of artemisinin and arteannuin B,"Primary tissue-specific and functional study informs compartmentalized lactone transport; secretion evidence is from A. annua and does not establish genus-wide LTP orthology."
31581691,"Chemical Composition and Biological Activities of Artemisia pedemontana subsp. assoana Essential Oils and Hydrolate.",include_primary_synthesis,"A. pedemontana oil and hydrolate chemistry with plant, insect, nematode, and protozoan assays","Primary rare-taxon study broadens chemotype and antiparasitic phenotype coverage; oil, hydrolate, and assay systems must remain separate preparations."
31652784,"Insights into Heterologous Biosynthesis of Arteannuin B and Artemisinin in Physcomitrella patens.",include_primary_synthesis,heterologous artemisinin and arteannuin B pathway reconstruction,"Primary pathway-reconstitution study informs enzyme sufficiency and branch products outside Artemisia; host metabolism cannot be used as evidence for native evolution."
31733071,"Simultaneous determination of artemisinin and its analogs and flavonoids in Artemisia annua crude extracts with the use of NMR spectroscopy.",include_primary_synthesis,NMR quantification of A. annua crude-extract constituents,"Primary analytical method supports preparation-aware measurement of artemisinin-related compounds; quantification does not establish biological activity or complete metabolome coverage."
31930540,"Artemisinin-derived antimalarial endoperoxides from bench-side to bed-side: Chronological advancements and future challenges.",include_review_context,artemisinin derivative pharmacology and translation,"Published review provides derivative and clinical-translation context; it is not evidence for native terpene diversity or efficacy of arbitrary Artemisia preparations."
32119077,"Sparse Epistatic Patterns in the Evolution of Terpene Synthases.",include_primary_synthesis,sequence-function evolution of an A. annua terpene synthase,"Primary experimental evolution study uses an A. annua enzyme to map sequence determinants of terpene specificity; engineered mutational landscapes are not natural species phylogeny."
32326167,"Agrobacterium-Mediated Transformation of Chrysanthemum with Artemisinin Biosynthesis Pathway Genes.",include_primary_synthesis,heterologous artemisinin-pathway engineering in asterid host,"Primary heterologous study provides comparative pathway context within Asteraceae; Chrysanthemum transformation does not establish Artemisia gene function or native chemistry."
32339306,"Overexpression of blue light receptor AaCRY1 improves artemisinin content in Artemisia annua L. .",include_primary_synthesis,blue-light receptor control of artemisinin accumulation,"Primary receptor and transgenic study informs photoregulatory control of a sesquiterpene lactone; heterologous Arabidopsis tests and A. annua output require separate interpretation."
32372353,"Essential oils from three Algerian medicinal plants (Artemisia campestris, Pulicaria arabica, and Saccocalyx satureioides) as new botanical insecticides?",include_primary_synthesis,A. campestris oil chemistry and insect-vector assays,"Primary comparative botanical-insecticide study expands vector phenotype evidence; cross-genus comparisons and mixture activity do not assign effects to individual terpenes."
32589757,"TRICHOME AND ARTEMISININ REGULATOR 2 positively regulates trichome development and artemisinin biosynthesis in Artemisia annua.",include_primary_synthesis,AaTAR2 control of glandular trichomes and artemisinin,"Primary developmental-genetics study links trichome density with artemisinin accumulation in A. annua; it does not establish causal coupling in other species."
32621255,"Isolation and evaluation of trypanocidal activity of sesquiterpenoids, flavonoids, and lignans in Artemisia sieversiana collected in Mongolia.",include_primary_synthesis,A. sieversiana sesquiterpene isolation and Trypanosoma assays,"Primary compound-isolation and trypanocidal study directly broadens species-level antiparasitic evidence; activity and structural attribution require compound- and stage-specific extraction."
32980062,"Toxicity and deleterious effects of Artemisia annua essential oil extracts on mulberry pyralid (Glyphodes pyloalis).",include_primary_synthesis,A. annua oil chemotype and insect toxicity,"Primary insect bioassay informs pesticidal activity and preparation-specific safety; non-target crop-insect toxicity is not mammalian safety or antiparasitic efficacy."
33539631,"Jasmonate- and abscisic acid-activated AaGSW1-AaTCP15/AaORA transcriptional cascade promotes artemisinin biosynthesis in Artemisia annua.",include_primary_synthesis,integrated JA/ABA transcriptional regulation of artemisinin,"Primary regulatory-network study informs hormone integration and trichome pathway control; network conservation beyond A. annua remains a hypothesis."
33893998,"Phytochemistry and pharmacological activity of the genus artemisia.",include_review_context,genus-level phytochemistry and pharmacology,"Published review is useful for discovery across Artemisia and for identifying primary sources; broad pharmacological summaries do not replace preparation- and compound-level evidence."
33911989,"It is not just artemisinin: Artemisia sp. for treating diseases including malaria and schistosomiasis.",include_review_context,non-artemisinin constituents and malaria/schistosomiasis context,"Published review supports discovery of multi-constituent and matrix hypotheses; claims about synergy, bioavailability, and clinical translation require primary verification."
33973259,"AaWRKY9 contributes to light- and jasmonate-mediated to regulate the biosynthesis of artemisinin in Artemisia annua.",include_primary_synthesis,light/JA-responsive WRKY control of artemisinin,"Primary promoter and perturbation study informs environmental-regulatory integration in A. annua; expression and reporter evidence do not establish cross-species function."
34034870,"AaMYB15, an R2R3-MYB TF in Artemisia annua, acts as a negative regulator of artemisinin biosynthesis.",include_primary_synthesis,negative transcriptional regulation of artemisinin,"Primary loss- and gain-of-function study adds regulatory antagonism to the A. annua pathway model; negative regulation remains to be tested comparatively."
37239820,"Trichome-Specific Analysis and Weighted Gene Co-Expression Correlation Network Analysis (WGCNA) Reveal Potential Regulation Mechanism of Artemisinin Biosynthesis in Artemisia annua.",include_primary_synthesis,trichome-specific transcriptomics and co-expression,"Primary tissue-resolved network study informs candidate regulators and compartment biology; co-expression is not causal evidence or comparative orthology."
37424116,"Effects of exogenous indole-3-acetic acid on the density of trichomes, expression of artemisinin biosynthetic genes, and artemisinin biosynthesis in Artemisia annua.",include_primary_synthesis,auxin effects on A. annua trichomes and artemisinin,"Primary hormone-perturbation study links auxin treatment with trichome density and artemisinin output; treatment response is not evidence for natural interspecific variation."
37668683,"Molecular understanding of anthocyanin biosynthesis activated by PAP1 and regulated by 2, 4-dichlorophenoxyacetic acid in engineered red Artemisia annua cells.",include_primary_synthesis,engineered A. annua cell cross-pathway regulation,"Primary engineered-cell study informs specialized-metabolism pathway interactions; anthocyanin endpoints and cell culture do not establish native terpene evolution."
37849964,"Chemical Composition and Larvicidal Properties of Essential Oils from Wild and Cultivated Artemisia campestris L., an Endemic Plant in Morocco.",include_primary_synthesis,wild-versus-cultivated A. campestris oil chemotypes and mosquito larvae,"Primary paired provenance study directly informs environment/cultivation effects and vector phenotype; activity remains mixture-level and preparation-specific."
38023498,"Autofluorescent antimalarials by hybridization of artemisinin and coumarin: in vitro/in vivo studies and live-cell imaging.",include_primary_synthesis,artemisinin-derived antimalarial chemical probes,"Primary derivative-design study informs translation and parasite imaging; semisynthetic hybrids are not native Artemisia constituents."
38114108,"[Genome-wide identification of bZIP family genes and screening of candidate AarbZIPs involved in terpenoid biosynthesis in Artemisia argyi].",include_primary_synthesis,A. argyi bZIP gene-family candidates and terpenoid regulation,"Primary genome-wide candidate study extends regulatory genomics beyond A. annua; screening and expression do not establish target genes or orthology."
38413638,"Bioprospecting of Artemisia genus: from artemisinin to other potentially bioactive compounds.",include_review_context,genus bioprospecting and terpene bioactivity,"Published review is useful for discovery and prioritization across Artemisia; broad bioactivity summaries require primary compound and assay verification."
38538562,"Serbian Artemisia species - chemical composition, acute toxicity and larvicidal activity of the essential oils.",include_primary_synthesis,comparative Serbian Artemisia oils with toxicity and larvicidal assays,"Primary multi-species oil study informs geographic chemotypes, vector activity, and acute toxicity; merged samples limit specimen-level inference."
38561770,"In vivo assessment of the antiparasitic effects of Allium sativum L. and Artemisia absinthium L. against gastrointestinal parasites in swine from low-input farms.",include_primary_synthesis,A. absinthium veterinary antiparasitic field context,"Primary in-vivo livestock study provides translational parasite evidence for a mixed botanical treatment; plant mixture, dose, and field confounding prevent constituent attribution."
38735012,"Functional characterisation of Artemisia annua jasmonic acid carboxyl methyltransferase: a key enzyme enhancing artemisinin biosynthesis.",include_primary_synthesis,AaJMT and methyl-jasmonate regulation of artemisinin,"Primary enzyme and transgenic study informs hormonal control of A. annua artemisinin; enhanced yield is not evidence of antiparasitic superiority."
38754641,"Chemical composition of Artemisia argyi essential oil and its antifungal activity against dermatophytes by inhibiting oxidative phosphorylation and causing oxidative damage.",include_primary_synthesis,A. argyi essential-oil chemistry and dermatophyte assay,"Primary oil study expands A. argyi chemotype and antimicrobial context; fungal activity is not parasite efficacy and remains mixture-level."
38865346,"Bio-guided isolation of a new sesquiterpene from Artemisia cina with anthelmintic activity against Haemonchus contortus L3 infective larvae.",include_primary_synthesis,A. cina sesquiterpene isolation and Haemonchus L3 assay,"Primary bio-guided isolation study directly links a defined sesquiterpene lead with a nematode-stage phenotype; host safety and in-vivo efficacy remain open."
38980203,"The AaBBX21-AaHY5 module mediates light-regulated artemisinin biosynthesis in Artemisia annua L.",include_primary_synthesis,BBX-HY5 light regulation of artemisinin,"Primary regulatory study informs light signaling and glandular-trichome pathway control in A. annua; comparative conservation remains untested."
39142249,"Artemisinin and deoxyartemisinin isolated from Artemisia annua L. promote distinct antinociceptive and anti-inflammatory effects in an animal model.",include_primary_synthesis,A. annua sesquiterpene-lactone isolation and host pharmacology,"Primary isolation and animal study informs constituent-specific host effects and safety context; antinociception is not antiparasitic efficacy."
39362811,"The evolutionary advantage of artemisinin production by Artemisia annua.",include_review_context,evolutionary hypotheses for A. annua artemisinin production,"Review context is useful for framing adaptive hypotheses and natural-population evidence; proposed advantage is not a demonstrated parasite-mediated selection result."
39538287,"Optimization of in vivo antimalarial efficacy of combinations of aqueous leaf extracts of Artemisia annua L., Vernonia amygdalina Del, and Microglossa pyrifolia (Lam.) Kuntze using factorial design.",include_primary_synthesis,combined aqueous leaf extracts in murine malaria,"Primary in-vivo study informs matrix and combination effects, but the multi-species preparation prevents attribution to Artemisia terpenes or artemisinin alone."
39669181,"Phytochemical profiling and in silico evaluation of Artemisia absinthium compounds targeting Leishmania N-myristoyltransferase: molecular docking, drug-likeness, and toxicity analyses.",include_primary_synthesis,A. absinthium phytochemical profiling and docking hypotheses,"Primary profiling plus in-silico study generates candidate antileishmanial mechanisms; docking and predicted toxicity require biochemical, cellular, and in-vivo validation."
40017590,"Exploring Ternary Essential Oil Mixtures of Moroccan Artemisia Species for Larvicidal Effectiveness Against Culex pipiens Mosquitoes: A Mixture Design Approach.",include_primary_synthesis,ternary Artemisia oil mixtures and Culex larvicidal response,"Primary mixture-design study directly tests interaction among oils; mixture optimization cannot be generalized to single constituents or other vectors."
40141085,"AaMYB121, a Novel R2-MYB-like Transcription Factor, Regulates Artemisinin Biosynthesis in Artemisia annua.",include_primary_synthesis,AaMYB121 transcriptional regulation of artemisinin,"Primary transcription-factor study adds regulatory evidence for A. annua; gene presence or perturbation does not establish genus-wide function."
40177011,"Genome-wide identification and expression analysis of the ADH gene family in Artemisia annua L. under UV-B stress.",include_primary_synthesis,A. annua ADH gene family and UV-B response,"Primary genome-wide stress-expression study informs downstream oxidation and environmental response; expression patterns are not direct evidence of product identity or flux."
3509293,"Analysis of the antimalarial sesquiterpene artemisinin in Artemisia annua by high-performance liquid chromatography (HPLC) with postcolumn derivatization and ultraviolet detection.",include_primary_synthesis,early analytical quantification of artemisinin in A. annua,"Primary analytical-method study supports historical artemisinin measurement; method-specific recovery and detection limits must remain distinct from biological efficacy."
4847771,"New monoterpenes from Artemisia filifolia (Torrey). Structure, synthesis, rearrangements, and biosynthesis.",include_primary_synthesis,A. filifolia monoterpene isolation and biosynthetic chemistry,"Primary structure and biosynthesis study expands rare monoterpene diversity beyond common oil markers; reported structures require explicit stereochemical and specimen context."
5532413,"Terpene biosynthesis. 3. Biosynthesis of (+)- and (-)-camphor in Artemisia, Salvia, and Chrysanthemum species.",include_primary_synthesis,comparative camphor biosynthesis in Asteraceae and related genera,"Foundational primary biosynthesis study informs stereochemistry and comparative enzyme logic; cross-genus evidence is context, not Artemisia-wide pathway proof."
8134418,"Cytotoxic terpenoids and flavonoids from Artemisia annua.",include_primary_synthesis,A. annua terpenoid isolation including triterpenoids,"Primary isolation study expands nonvolatile sesqui- and triterpene coverage; cytotoxicity is safety context and not antiparasitic efficacy."
8374514,"In vitro biological activities of arglabin, a sesquiterpene lactone from the Chinese herb Artemisia myriantha Wall. (Asteraceae).",include_primary_synthesis,A. myriantha sesquiterpene-lactone bioactivity,"Primary compound study adds an Artemisia lactone lead and host-cell activity context; macrophage cytotoxicity is not parasite selectivity."
10626375,"Amorpha-4,11-diene synthase catalyses the first probable step in artemisinin biosynthesis.",include_primary_synthesis,"ADS enzyme and amorpha-4,11-diene pathway anchor","Foundational primary enzyme study supports the first committed artemisinin-pathway step; detection and recombinant activity do not establish pathway completion in other species."
12789527,"Tetraploid Artemisia annua hairy roots produce more artemisinin than diploids.",include_primary_synthesis,polyploidy and hairy-root artemisinin production,"Primary polyploidy study informs genotype and culture effects on sesquiterpene-lactone yield; transformed roots are not field chemotypes."
12967596,"Central properties of the essential oil and the crude ethanol extract from aerial parts of Artemisia annua L.",include_primary_synthesis,A. annua oil and ethanol-extract host pharmacology,"Primary preparation-comparison study informs safety and matrix boundaries; central pharmacology does not establish antiparasitic efficacy or constituent attribution."
15030924,"Antimicrobial activity of Artemisia douglasiana leaf essential oil.",include_primary_synthesis,A. douglasiana leaf-oil chemistry and antimicrobial assays,"Primary oil study expands species-level volatile chemistry; antimicrobial endpoints are not antiparasitic and mixture activity remains unresolved."
16131103,"Analysis of artemisinin in Artemisia annua L. by LC-MS with selected ion monitoring.",include_primary_synthesis,LC-MS quantification of A. annua artemisinin,"Primary analytical validation study supports reproducible preparation-aware quantification of a sesquiterpene lactone; it is not efficacy evidence."
16557475,"Trichome dynamics and artemisinin accumulation during development and senescence of Artemisia annua leaves.",include_primary_synthesis,leaf development trichomes and artemisinin accumulation,"Primary field-development study directly informs tissue and ontogenetic variation; its A. annua context does not establish interspecific conservation."
17628838,"Artemisinin and sesquiterpene precursors in dead and green leaves of Artemisia annua L. crops.",include_primary_synthesis,green/dead leaf precursor conversion and artemisinin,"Primary field study informs senescence, precursor pools, and terminal conversion; concentration differences are not direct evidence of pathway flux without matched mass balance."
18054484,"Bioactivity of two major constituents isolated from the essential oil of Artemisia judaica L.",include_primary_synthesis,A. judaica oil constituents and insecticidal/antifungal assays,"Primary constituent-isolation study expands volatile chemistry and insect bioactivity; insecticidal endpoints do not establish antiparasitic efficacy in human parasites."
18197598,"Quantification of artemisinin in Artemisia annua extracts by 1H-NMR.",include_primary_synthesis,NMR quantification of A. annua artemisinin,"Primary analytical-method study supports robust extract quantification of a thermolabile lactone; analytical recovery and extract composition remain preparation-specific."
18397765,"Mass propagation and essential oil analysis of Artemisia vulgaris.",include_primary_synthesis,A. vulgaris propagation and essential-oil chemistry,"Primary tissue-culture and oil study informs production context and species chemistry; propagated material is not equivalent to wild-population chemotype."
18417176,"Screening of chemical composition, antimicrobial and antioxidant activities of Artemisia essential oils.",include_primary_synthesis,seven western Canadian Artemisia oil chemotypes,"Primary multi-species oil survey expands regional mono- and sesquiterpene comparisons; antimicrobial and antioxidant effects remain mixture-level and non-parasitic."
18670120,"A cytotoxic and apoptosis-inducing sesquiterpenoid isolated from the aerial parts of Artemisia princeps PAMPANINI (Sajabalssuk).",include_primary_synthesis,A. princeps sesquiterpene-lactone isolation and cytotoxicity,"Primary isolation study expands STL structural diversity and host-safety context; cancer-cell activity is not antiparasitic evidence."
19194753,"Essential oil of Artemisia scoparia inhibits plant growth by generating reactive oxygen species and causing oxidative damage.",include_primary_synthesis,A. scoparia oil chemistry and ecological bioactivity,"Primary plant-bioassay study informs ecological function of a monoterpene-rich oil; phytotoxicity is not parasite activity or mammalian safety."
19483202,"Enhancement of artemisinin concentration and yield in response to optimization of nitrogen and potassium supply to Artemisia annua.",include_primary_synthesis,nutrient effects on A. annua artemisinin yield,"Primary field/nutrient study informs environmental and agronomic variation; yield enhancement does not establish altered antiparasitic potency or cross-species response."
19768995,"Analysis of essential oils of Artemisia absinthium L. from Lithuania by CC, GC(RI), GC-MS and 13C NMR.",include_primary_synthesis,multi-platform A. absinthium oil chemistry including diterpene and homoditerpene constituents,"Primary multi-platform analytical study expands uncommon A. absinthium diterpene-associated oil chemistry; identities and abundance remain specimen- and method-specific."
34239538,"Full-Length Transcriptome Analysis Reveals Candidate Genes Involved in Terpenoid Biosynthesis in Artemisia argyi.",include_primary_synthesis,full-length multi-tissue A. argyi terpenoid transcriptome,"Primary long-read transcriptome study adds tissue-resolved candidate genes and isoforms; candidate annotations are not proof of orthology or pathway flux."
34263417,"Enhancing artemisinin content in and delivery from Artemisia annua: a review of alternative, classical, and transgenic approaches.",include_review_context,artemisinin production and delivery strategies,"Published review is useful for discovery and translation context; it does not replace primary evidence for native cross-species chemistry or clinical efficacy."
34659300,"Genome-Wide Analysis of Light-Regulated Alternative Splicing in Artemisia annua L.",include_primary_synthesis,light-regulated alternative splicing and artemisinin pathway,"Primary genome-wide transcript study informs post-transcriptional regulation in A. annua; isoform association does not establish metabolite flux or species conservation."
35111184,"Integrated Analysis of Basic Helix Loop Helix Transcription Factor Family and Targeted Terpenoids Reveals Candidate AarbHLH Genes Involved in Terpenoid Biosynthesis in Artemisia argyi.",include_primary_synthesis,A. argyi bHLH candidates and targeted terpenoids,"Primary transcriptomic and targeted-metabolite study expands regulatory candidates beyond A. annua; candidate correlations require functional validation."
35150378,"Phytochemical analysis and anti-microbial activities of Artemisia spp. and rapid isolation methods of artemisinin.",include_primary_synthesis,comparative Ethiopian Artemisia chemistry and artemisinin isolation,"Primary comparative phytochemistry study adds species and extraction context; antimicrobial endpoints are not antiparasitic and crude-extract attribution remains limited."
